Song,Artist,Album,Cover Art,Release Year
She,Tyler the Creator,Goblin,https://i.ytimg.com/vi/ko8dSpfSh-4/maxresdefault.jpg,2011
WHAT A DAY,Tyler the Creator,Call Me If You Get Lost,https://target.scene7.com/is/image/Target/GUEST_26d62ccd-074f-4cb9-9e9b-a3a5ece0c8cb?wid=488&hei=488&fmt=pjpeg,2021
You,"Lloyd, Lil Wayne",Street Love,"https://m.media-amazon.com/images/I/51izZ6p3lfL._UF1000,1000_QL80_.jpg",2006
Karreuche,Tory Lanez,single,https://imagescdn.junodownload.com/full/CS2995193-02A-BIG.jpg,2015
Friends with Benefits,Tory Lanez,I Told You,https://upload.wikimedia.org/wikipedia/en/e/ef/Tory-lanez-i-told-you.jpg,2016
Transylvania,Tyler the Creator,Goblin,https://i.ytimg.com/vi/ko8dSpfSh-4/maxresdefault.jpg,2011
Say It,Tory Lanez,I Told You,https://upload.wikimedia.org/wikipedia/en/e/ef/Tory-lanez-i-told-you.jpg,2016
In For It,"Tory Lanez, RL Grime",Cruel Intentions,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Cruelintentionsep.jpg/220px-Cruelintentionsep.jpg,2024
I Love You,Young Slo-Be,Slo-Be Bryant 3,https://images.genius.com/a3aafc8f57907723031523886ec408d6.1000x1000x1.jpg,2021
