song,artist,album,cover art,year
upset,Brent Faiyaz,lager than life,,
demon,lil travieso,cant stop wont stop,,
Ambitionz free style,Peysoh,Ambitionz,,
bounce out ,dexthejoint,bounce out,,
thuggin,lil travieso,thuggin,,
dont trip,chii wvttz,dont trip,,
keep it p,Etho suave,keep it p,,
no surburban,cheff G,no surburban,,
cant wait ,sugerhill keem,cant wait,,
