Song,Artist,Album,Cover Art,Year Released
Dandelion,Jaehyun,J,https://images.genius.com/7556b0ff6462821c3b178d768811aa85.1000x1000x1.jpg,2024
Broken Clocks,SZA,Ctrl,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/SZA_-_Ctrl_cover.png/220px-SZA_-_Ctrl_cover.png,2017
1-800-hot-n-fun,LE SSERAFIM,Crazy,https://i.scdn.co/image/ab67616d00001e02485623bc41b6760fc1bca2f4,2024
Good Decoration,Frank Ocean,Unrealsed MISC,https://i1.sndcdn.com/artworks-000310758003-ueqrr1-t1080x1080.jpg,2013
Roses,Jaehyun,J,https://images.genius.com/cc054004ea4f37f8d93eac1b6019f83c.1000x1000x1.png,2024
Role Model,Brent Faiyaz,Wasteland,https://chordprints.com/cdn/shop/files/wastelandprd-min.png?v=1711822241&width=1946,2022
Pyramids,Frank Ocean,Channel Orange,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9EWUGTdNct-1UstJm9LmRTCOuoWjxoFoDVw&s,2012
Karma,Summer Walker,Last Day of Summer,https://i.scdn.co/image/ab67616d0000b2738c91c1f50ca181b862706003,2022
Supernova,Aespa,Armageddon,https://i.scdn.co/image/ab67616d0000b273090cfa22962b115ac530674c,2024
